,预售证号,日期,项目名称,发展商,项目坐落,栋号,住宅面积,商业面积,办公面积,其他面积,住宅套数,商业套数,办公套数,其他套数
151,肇预许字第2019007号,2019年1月23日,敏捷广场八期,肇庆市敏捷投资有限公司,肇庆市端州区信安路西侧83区,10、11栋住宅楼及10#商业裙楼 32层/205套,26592.69,4179.96,0,0,182,23,0,0
152,肇预许字第2019006号,2019年1月22日,端州馨园,肇庆市梁浩置业有限公司,肇庆市端州区151区学院路东侧（一期）,25幢,7493.12,0,0,0,48,0,0,0
153,肇预许字第2019005号,2019年1月22日,端州馨园,肇庆市梁浩置业有限公司,肇庆市端州区151区学院路东侧（一期）,22幢,2321.72,0,0,0,12,0,0,0
154,肇预许字第2019004号,2019年1月21日,恒裕城A13、A15幢,肇庆市星湖名苑房地产有限公司,肇庆市端州区103区星湖大道北侧,恒裕城A13、A15幢 39层/140套,22677.26,0,0,0,140,0,0,0
155,肇预许字第2019003号,2019年1月21日,恒裕城A12幢,肇庆市星湖名苑房地产有限公司,肇庆市端州区103区星湖大道北侧,恒裕城A12幢 39层/70套,12781.82,0,0,0,70,0,0,0
156,肇预许字第2019002号,2019年1月14日,肇庆.臻汇园二期（幸福湖畔）C区商业,广东臻汇园置业发展有限公司,肇庆市端州区星湖大道115区,肇庆.臻汇园二期（幸福湖畔）C区商业 3层/44套,0,6610.61,0,0,0,44,0,0
157,肇预许字第2019001号,2019年1月7日,御嘉轩一期A幢、B幢,肇庆市城乡建设有限公司,肇庆市端州区69区景泰路东侧,一期A幢、B幢16层/103套,9512.08,1054.17,0,0,88,15,0,0
158,肇预许字第2018119号,2018年12月29日,敏捷西城都荟广场,肇庆市腾龙置业有限公司,肇庆市端州区35区黄塘路南、桥北路西,2栋、1#商业B段,14003.11,3182.28,0,0,132,15,0,0
159,肇预许字第2018118号,2019年8月27日,敏捷星荟苑,肇庆市敏尚房地产有限公司,肇庆市端州区20区大鼎路北侧、太和南路西,4栋,13954.28,875.97,0,0,122,17,0,0
160,肇预许字第2018117号,2018年12月26日,敏捷广场九期,肇庆市敏捷投资有限公司,肇庆市端州区96区砚都大道北侧,A段商业楼（4层）/189套,0,19224.7,0,0,0,189,0,0
161,肇预许字第2018116号,2018年12月25日,端州馨园,肇庆市梁浩置业有限公司,肇庆市端州区151区学院路东侧（一期）,2幢,19300.87,0,0,0,172,0,0,0
162,肇预许字第2018115号,2018年12月25日,端州馨园,肇庆市梁浩置业有限公司,肇庆市端州区151区学院路东侧（一期）,1幢 18层/90套,9984.43,0,0,0,90,0,0,0
163,肇预许字第2018114号,2018年12月20日,江畔雅苑（江畔雅轩）,肇庆市汇丰置业发展有限公司,肇庆市端州区38区前沙街113号,1号楼18层；2号楼27层/237套,26979.01,0,0,0,237,0,0,0
164,肇预许字第2018113号,2018年12月12日,时代公馆,肇庆市天骄御景投资有限公司,肇庆市端州区35区端州七路北侧,3号楼,6025.95,579.64,0,0,60,10,0,0
165,肇预许字第2018112号,2018年12月12日,东骏名城（名城星岸商住中心）B区,肇庆市建安实业发展有限公司,肇庆市端州区端州三路14号,B区第5幢；28层/338套,38146.95,1141.69,0,0,324,14,0,0
166,肇预许字第2018111号,2018年12月12日,凯信君悦湾（嘉湖君悦花园）,肇庆凯信房地产发展有限公司,肇庆市端州区117区凯信君悦湾（嘉湖君悦花园）,第6幢 32层/247套,30749.39,0,0,0,247,0,0,0
167,肇预许字第2018110号,2018年12月6日,敏捷水映澜山雅院,肇庆市敏尚房地产有限公司,肇庆市端州区151区七星一路北侧,5栋  18层/72套,7559.54,0,0,0,72,0,0,0
168,肇预许字第2018109号,2018年11月28日,时代公馆,肇庆市天骄御景投资有限公司,肇庆市端州区35区端州七路北侧,2号楼,6547.89,1600,0,0,58,11,0,0
169,肇预许字第2018108号,2018年11月28日,鸿景紫园,肇庆北岭日灿房地产开发有限公司,肇庆市端州区北岭旅游度假区一区,第120、121、122、123、125、126、133、135、136、137、138、139、150、151、152、153、155、156、157、158、159、160号  3层/22套,2813.58,0,0,0,22,0,0,0
170,肇预许字第2018107号,2018年11月23日,鸿景誉园,肇庆市明苑房产发展有限公司,肇庆市端州区41、42区蕉园路南侧D地块,南区一期1栋A、B座,17914.82,1266.14,0,0,132,15,0,0
171,肇预许字第2018106号,2018年11月21日,肇庆锦绣山河花园七期（三区）11号楼,肇庆市锦绣山河房地产开发有限公司,肇庆市端州区龟山路西侧,11号楼  18层/227套,20119.86,1115.18,0,0,208,19,0,0
172,肇预许字第2018105号,2018年11月21日,敏捷水映澜山雅院,肇庆市敏尚房地产有限公司,肇庆市端州区151区七星一路北侧,8栋及3#商业  18层/84套,7548.75,670.77,0,0,72,12,0,0
173,肇预许字第2018104号,2018年11月20日,敏捷水映澜山雅院,肇庆市敏尚房地产有限公司,肇庆市端州区151区七星一路北侧,9栋及4#商业   18层/80套,7361.69,628.51,0,0,70,10,0,0
174,肇预许字第2018103号,2018年11月20日,敏捷西城都荟广场,肇庆市腾龙置业有限公司,肇庆市端州区35区黄塘路南、桥北路西,4栋住宅商业,14758.73,2061.37,0,0,139,12,0,0
175,肇预许字第2018102号,2018年11月14日,肇庆恒大翡翠华庭商住小区12号商业楼,肇庆国声镭射技术制作有限公司,肇庆市端州区(127区)端州一路东侧（绵山路7号）,12号商业楼,0,449.01,0,0,0,6,0,0
176,肇预许字第2018101号,2018年11月7日,鸿景悦园,肇庆市鸿伟房地产开发有限公司,肇庆市端州区新元路西南侧84区,第8C幢 3层/16套,835.95,548.4,0,0,6,10,0,0
177,肇预许字第2018100号,2018年11月7日,肇庆天骄御景花园二期6号楼,肇庆市天骄御景投资有限公司,肇庆市端州区城东新区103区东调洪湖北侧,6号楼 32层/248套,31228.16,0,0,0,248,0,0,0
178,肇预许字第2018099号,2018年11月6日,肇庆锦绣山河花园六区（八期）3号楼,肇庆市锦绣山河房地产开发有限公司,肇庆市端州区大鼎路南侧/龟顶山西侧,3号楼  18层/136套,12998.2,0,0,0,136,0,0,0
179,肇预许字第2018098号,2018年11月3日,鸿景誉园,肇庆市明苑房产发展有限公司,肇庆市端州区41、42区蕉园路南侧D地块,"南区一期2栋A、B座,17层/136套",13526.49,0,0,0,136,0,0,0
180,肇预许字第2018097号,2018年10月31日,敏捷水映澜山雅院,肇庆市敏尚房地产有限公司,肇庆市端州区151区七星一路北侧,10栋及5#商业 18层/85套,7541.58,812.69,0,0,72,13,0,0
181,肇预许字第2018096号,2018年10月25日,嘉湖绿洲商住小区二期K幢,肇庆市力拓房地产有限公司,肇庆市端州区桂园路南侧、睦洲路东侧（13区）,K幢  21层/204套,17731.41,2538.85,0,0,194,10,0,0
182,肇预许字第2018095号,2018年10月18日,敏捷西城都荟广场,肇庆市腾龙置业有限公司,肇庆市端州区35区黄塘路南、桥北路西,3栋住宅商业,14868.06,1021.89,0,0,140,6,0,0
183,肇预许字第2018094号,2018年10月18日,敏捷水映澜山雅院,肇庆市敏尚房地产有限公司,肇庆市端州区151区七星一路北侧,4栋  18层/54套,6917.22,0,0,0,54,0,0,0
184,肇预许字第2018093号,2018年10月16日,敏捷水映澜山雅院,肇庆市敏尚房地产有限公司,肇庆市端州区151区七星一路北侧,11、12栋及6#商业 18层/163套,14978.49,1233.85,0,0,144,19,0,0
185,肇预许字第2018050号,2019年6月24日,肇庆恒大翡翠华庭商住小区6号商住楼,肇庆国声镭射技术制作有限公司,肇庆市端州区127区端州一路东侧（绵山路7号）,6号商住楼,17619.61,787.58,0,0,138,14,0,0
186,肇预许字第2017006号,2019年3月15日,城市阳光花园4、6、7、9号楼,肇庆市�龃锢�房地产有限公司,肇庆市端州区89区新园中路北侧,4号楼17层、6号楼23层、7号楼16层、9号楼2层/334套,21958.39,9869.56,0,0,242,92,0,0
187,肇预许字第2016079号,2019年3月15日,城市阳光花园3号楼、8号楼,肇庆市�龃锢�房地产有限公司,肇庆市端州区89区新园中路北侧,3号楼16层 8号楼2层/131套,5469.1,9144.33,0,0,56,75,0,0
188,肇预许字第2016071号,2018年11月15日,肇庆.臻汇园二期（幸福湖畔）B区商业一、二区,广东臻汇园置业发展有限公司,肇庆市端州区星湖大道115区,肇庆.臻汇园二期（幸福湖畔）B区商业一、二区 3层/22套,0,3532.02,0,0,0,22,0,0
189,肇预许字第2016048号,2018年11月15日,肇庆.臻汇园二期（幸福湖畔）B区商业三区,广东臻汇园置业发展有限公司,肇庆市端州区星湖大道115区,肇庆.臻汇园二期（幸福湖畔）B区商业三区 3层/11套,0,2009.75,0,0,0,11,0,0
190,肇预许字第2016044号,2018年12月18日,肇庆.臻汇园二期（幸福湖畔）B区商业四区,广东臻汇园置业发展有限公司,肇庆市端州区星湖大道115区,肇庆.臻汇园二期（幸福湖畔）B区商业四区 3层/22套,0,3233.22,0,0,0,22,0,0
